Trial,Node Size,Algorithm,Runs Time (ms)
1,8,Minimum Dominating Set,0.29
1,8,Naive Camera Position,3.84
1,8,KD-Tree Camera Position,0.12
2,5,Minimum Dominating Set,0.09
2,5,Naive Camera Position,0.09
2,5,KD-Tree Camera Position,0.09
3,9,Minimum Dominating Set,0.13
3,9,Naive Camera Position,0.17
3,9,KD-Tree Camera Position,0.11
4,9,Minimum Dominating Set,0.13
4,9,Naive Camera Position,0.10
4,9,KD-Tree Camera Position,0.10
5,6,Minimum Dominating Set,0.08
5,6,Naive Camera Position,0.08
5,6,KD-Tree Camera Position,0.07
6,7,Minimum Dominating Set,0.15
6,7,Naive Camera Position,0.08
6,7,KD-Tree Camera Position,0.06
7,7,Minimum Dominating Set,0.09
7,7,Naive Camera Position,0.08
7,7,KD-Tree Camera Position,0.07
8,10,Minimum Dominating Set,0.13
8,10,Naive Camera Position,0.10
8,10,KD-Tree Camera Position,0.10
9,8,Minimum Dominating Set,0.11
9,8,Naive Camera Position,0.14
9,8,KD-Tree Camera Position,0.10
10,8,Minimum Dominating Set,0.11
10,8,Naive Camera Position,0.08
10,8,KD-Tree Camera Position,0.07
11,7,Minimum Dominating Set,0.11
11,7,Naive Camera Position,0.12
11,7,KD-Tree Camera Position,0.07
12,8,Minimum Dominating Set,0.09
12,8,Naive Camera Position,0.09
12,8,KD-Tree Camera Position,0.07
13,9,Minimum Dominating Set,0.11
13,9,Naive Camera Position,0.09
13,9,KD-Tree Camera Position,0.07
14,10,Minimum Dominating Set,0.09
14,10,Naive Camera Position,0.08
14,10,KD-Tree Camera Position,0.07
15,5,Minimum Dominating Set,0.04
15,5,Naive Camera Position,0.05
15,5,KD-Tree Camera Position,0.06
16,9,Minimum Dominating Set,0.09
16,9,Naive Camera Position,0.09
16,9,KD-Tree Camera Position,0.08
17,9,Minimum Dominating Set,0.08
17,9,Naive Camera Position,0.09
17,9,KD-Tree Camera Position,0.07
18,9,Minimum Dominating Set,0.08
18,9,Naive Camera Position,0.09
18,9,KD-Tree Camera Position,0.10
19,6,Minimum Dominating Set,0.08
19,6,Naive Camera Position,0.09
19,6,KD-Tree Camera Position,0.08
20,9,Minimum Dominating Set,0.12
20,9,Naive Camera Position,0.12
20,9,KD-Tree Camera Position,0.11
21,8,Minimum Dominating Set,0.10
21,8,Naive Camera Position,0.10
21,8,KD-Tree Camera Position,0.09
22,5,Minimum Dominating Set,0.05
22,5,Naive Camera Position,0.07
22,5,KD-Tree Camera Position,0.04
23,9,Minimum Dominating Set,0.08
23,9,Naive Camera Position,0.07
23,9,KD-Tree Camera Position,0.06
24,9,Minimum Dominating Set,0.07
24,9,Naive Camera Position,0.09
24,9,KD-Tree Camera Position,0.09
25,6,Minimum Dominating Set,0.11
25,6,Naive Camera Position,0.11
25,6,KD-Tree Camera Position,0.07
26,9,Minimum Dominating Set,0.10
26,9,Naive Camera Position,0.09
26,9,KD-Tree Camera Position,0.11
27,8,Minimum Dominating Set,0.09
27,8,Naive Camera Position,0.12
27,8,KD-Tree Camera Position,0.10
28,6,Minimum Dominating Set,0.06
28,6,Naive Camera Position,0.08
28,6,KD-Tree Camera Position,0.06
29,9,Minimum Dominating Set,0.11
29,9,Naive Camera Position,0.17
29,9,KD-Tree Camera Position,0.10
30,10,Minimum Dominating Set,0.12
30,10,Naive Camera Position,0.11
30,10,KD-Tree Camera Position,0.11
31,6,Minimum Dominating Set,0.10
31,6,Naive Camera Position,0.08
31,6,KD-Tree Camera Position,0.12
32,6,Minimum Dominating Set,0.12
32,6,Naive Camera Position,0.07
32,6,KD-Tree Camera Position,0.04
33,5,Minimum Dominating Set,0.05
33,5,Naive Camera Position,0.07
33,5,KD-Tree Camera Position,0.05
34,7,Minimum Dominating Set,0.07
34,7,Naive Camera Position,0.17
34,7,KD-Tree Camera Position,0.06
35,5,Minimum Dominating Set,0.04
35,5,Naive Camera Position,0.05
35,5,KD-Tree Camera Position,0.04
36,5,Minimum Dominating Set,0.03
