Node Size,Average Runtime (ms)
5,0.2136
7,0.1492
6,0.0909
10,0.1903
7,0.0933
7,0.0893
10,0.1348
8,0.094
5,0.1089
5,0.0732
10,0.1479
5,0.0461
10,0.1306
9,0.112
9,0.1458
8,0.0966
5,0.0962
9,0.0811
8,0.0708
5,0.0742
7,0.0797
6,0.0597
8,0.1023
7,0.0835
10,0.0813
8,0.0564
5,0.0424
7,0.0816
6,0.0576
6,0.0692
8,0.1019
9,0.1016
8,0.1392
9,0.1004
8,0.078
6,0.0617
10,0.0808
7,0.046
7,0.0637
7,0.0664
6,0.054
7,0.0715
7,0.1003
7,0.0689
6,0.0614
10,0.1039
10,0.1337
9,0.0854
6,0.0494
7,0.069
5,0.0451
9,0.0951
9,0.0906
10,0.1044
9,0.088
9,0.0884
9,0.0844
9,0.0899
9,0.0876
10,0.109
7,0.0411
7,0.0665
8,0.0473
5,0.028
6,0.0581
10,0.1263
6,0.0636
7,0.0585
6,0.0548
6,0.0484
10,0.0894
9,0.0824
7,0.0579
7,0.0601
5,0.0396
8,0.0509
7,0.0608
6,0.0602
5,0.0789
10,0.068
5,0.0233
7,0.0371
10,0.0667
5,0.0234
6,0.048
10,0.0759
6,0.0459
6,0.0498
9,0.0549
9,0.072
8,0.0459
7,0.0391
9,0.0699
6,0.0518
9,0.0683
7,0.0437
5,0.0329
6,0.0463
5,0.04
6,0.0454
