Node Size,Average Runtime (ms)
6,0.0562
7,0.0289
9,0.0484
5,0.0132
7,0.0254
7,0.033
9,0.0156
7,0.0105
5,0.0068
10,0.019
5,0.0068
7,0.0107
10,0.0195
5,0.0075
10,0.0182
6,0.009
7,0.0128
8,0.0144
5,0.0076
7,0.0108
5,0.0072
7,0.0106
7,0.0126
9,0.0154
5,0.0068
9,0.0167
6,0.0085
10,0.0185
7,0.0201
6,0.0076
9,0.014
6,0.0078
5,0.006
6,0.0102
9,0.0161
9,0.014
6,0.0075
10,0.0188
8,0.0121
6,0.0074
6,0.0075
10,0.0167
5,0.0058
9,0.015
6,0.0075
8,0.0116
9,0.0163
9,0.0139
7,0.011
8,0.0121
10,0.0166
5,0.0058
7,0.011
7,0.0095
9,0.014
9,0.0141
9,0.0142
9,0.0142
9,0.016
7,0.0097
7,0.0098
6,0.0084
6,0.009
5,0.0063
10,0.0193
5,0.0059
10,0.0176
5,0.0058
9,0.0156
9,0.0139
6,0.0077
5,0.0059
9,0.014
10,0.022
9,0.0146
6,0.0077
6,0.0088
5,0.0064
6,0.0078
7,0.0094
9,0.0156
7,0.0095
8,0.0117
5,0.0059
7,0.0247
10,0.0182
8,0.0119
8,0.0123
7,0.0099
5,0.0061
7,0.0099
9,0.0142
9,0.014
10,0.0318
5,0.0067
8,0.0138
8,0.012
6,0.0075
5,0.0058
7,0.0096
